"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 28 22:48:20 MSK 2022","Sat May 28 22:49:21 MSK 2022","60538","","ru.yandex.practicum.login.CourierLoginTest","","ru.yandex.practicum.login.CourierLoginTest","courierLoginIsEmptyPassword","Courier with empty field password",""
"passed","Sat May 28 22:49:21 MSK 2022","Sat May 28 22:49:21 MSK 2022","687","","ru.yandex.practicum.login.CourierLoginTest","","ru.yandex.practicum.login.CourierLoginTest","courierLoginIsEmptyLogin","Courier with empty field login",""
"passed","Sat May 28 22:49:21 MSK 2022","Sat May 28 22:49:22 MSK 2022","543","","ru.yandex.practicum.login.CourierLoginTest","","ru.yandex.practicum.login.CourierLoginTest","courierLoginValidCredentials","Courier is valid credential",""
"passed","Sat May 28 22:48:18 MSK 2022","Sat May 28 22:48:18 MSK 2022","349","","ru.yandex.practicum.create.CreateCourierTest","","ru.yandex.practicum.create.CreateCourierTest","courierCreateIsEmptyPassword","Create courier is empty password",""
"passed","Sat May 28 22:48:18 MSK 2022","Sat May 28 22:48:19 MSK 2022","486","","ru.yandex.practicum.create.CreateCourierTest","","ru.yandex.practicum.create.CreateCourierTest","courierCreateRepeatedRequestByDuplicateData","Repeat request by duplicate data",""
"passed","Sat May 28 22:48:19 MSK 2022","Sat May 28 22:48:20 MSK 2022","553","","ru.yandex.practicum.login.CourierLoginTest","","ru.yandex.practicum.login.CourierLoginTest","courierLoginInvalidPassword","Courier invalid password",""
"passed","Sat May 28 22:49:22 MSK 2022","Sat May 28 22:49:22 MSK 2022","175","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","orderCreateValidCredentials[1]","Create order is valid credential",""
"passed","Sat May 28 22:49:23 MSK 2022","Sat May 28 22:49:23 MSK 2022","160","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","orderCreateValidCredentials[3]","Create order is valid credential",""
"passed","Sat May 28 22:48:19 MSK 2022","Sat May 28 22:48:19 MSK 2022","316","","ru.yandex.practicum.create.CreateCourierTest","","ru.yandex.practicum.create.CreateCourierTest","courierCreateIsEmptyLogin","Create courier is empty login",""
"passed","Sat May 28 22:48:20 MSK 2022","Sat May 28 22:48:20 MSK 2022","504","","ru.yandex.practicum.login.CourierLoginTest","","ru.yandex.practicum.login.CourierLoginTest","courierLoginInvalidLogin","Courier invalid login",""
"passed","Sat May 28 22:49:22 MSK 2022","Sat May 28 22:49:23 MSK 2022","185","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","orderCreateValidCredentials[2]","Create order is valid credential",""
"passed","Sat May 28 22:49:23 MSK 2022","Sat May 28 22:49:24 MSK 2022","1087","","ru.yandex.practicum.order.GetAllOrdersTest","","ru.yandex.practicum.order.GetAllOrdersTest","getAllOrders","Get all orders courier",""
"passed","Sat May 28 22:48:12 MSK 2022","Sat May 28 22:48:18 MSK 2022","6151","","ru.yandex.practicum.create.CreateCourierTest","","ru.yandex.practicum.create.CreateCourierTest","courierCreateValidCredentials","Create courier is valid credentials",""
"passed","Sat May 28 22:49:22 MSK 2022","Sat May 28 22:49:22 MSK 2022","231","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","","ru.yandex.practicum.order.CreateOrderParamitrizedTest","orderCreateValidCredentials[0]","Create order is valid credential",""
